vehicle.make,vehicle.model,vehicle.year,vehicle.type,fuelType,reviewCount,rating,location.city
Tesla,Model X,2019,suv,ELECTRIC,12,5.0,Seattle
Tesla,Model X,2018,suv,ELECTRIC,1,5.0,Tijeras
Toyota,Prius,2012,car,HYBRID,24,4.92,Albuquerque
Ford,Mustang,2018,car,GASOLINE,20,5.0,Albuquerque
Chrysler,Sebring,2010,car,GASOLINE,1,5.0,Albuquerque
Mercedes-Benz,GL-Class,2012,suv,GASOLINE,12,5.0,Albuquerque
GMC,Yukon XL,2005,suv,GASOLINE,12,4.42,Albuquerque
Ford,Expedition,2018,suv,GASOLINE,10,4.9,Albuquerque
Ford,Focus RS,2016,car,GASOLINE,1,5.0,Albuquerque
Ford,EcoSport,2018,suv,GASOLINE,17,4.76,Albuquerque
Ford,F-150,2012,truck,GASOLINE,22,4.95,Albuquerque
Toyota,Prius,2012,car,HYBRID,10,4.7,Albuquerque
Volkswagen,Tiguan,2018,suv,GASOLINE,7,5.0,Albuquerque
Toyota,Avalon Hybrid,2013,car,HYBRID,38,4.92,Albuquerque
Saab,3-Sep,2011,car,GASOLINE,56,4.88,Albuquerque
Ram,CV Tradesman,2014,minivan,GASOLINE,2,4.5,Albuquerque
Jeep,Cherokee,2018,suv,GASOLINE,0,,Albuquerque
Porsche,Cayman,2007,car,GASOLINE,20,5.0,Albuquerque
Jeep,Wrangler JK,2018,suv,GASOLINE,3,4.67,Albuquerque
Ford,Mustang,2019,car,GASOLINE,19,5.0,Santa Fe
Ford,Explorer,2012,suv,GASOLINE,2,4.5,Albuquerque
Nissan,Rogue,2016,suv,GASOLINE,52,4.92,Albuquerque
Tesla,Model S,2015,car,ELECTRIC,1,5.0,Albuquerque
Dodge,Charger,2014,car,GASOLINE,18,4.72,Santa Fe
Volkswagen,Jetta,2019,car,GASOLINE,46,4.85,Santa Fe
Hyundai,Sonata,2016,car,GASOLINE,11,4.82,Santa Fe
Chevrolet,Impala,2010,car,GASOLINE,54,4.8,Rio Rancho
Hyundai,Accent,2015,car,GASOLINE,19,5.0,Albuquerque
Ford,Focus,2010,car,GASOLINE,20,5.0,Albuquerque
GMC,Yukon XL,2018,suv,GASOLINE,0,,Grovetown
Toyota,Sequoia,2016,suv,GASOLINE,3,5.0,Evans
Mercedes-Benz,GLC-Class,2016,suv,GASOLINE,19,5.0,Augusta
Ford,Fiesta,2019,car,,8,5.0,Augusta
Dodge,Journey,2019,suv,GASOLINE,8,5.0,Augusta
Lexus,ES 300h,2015,car,HYBRID,3,5.0,Evans
Cadillac,ATS,2015,car,GASOLINE,1,5.0,Augusta
Lexus,IS 350,2015,car,GASOLINE,2,4.5,Beech Island
smart,fortwo,2010,car,GASOLINE,19,4.58,East Point
Land Rover,Range Rover,2016,suv,GASOLINE,44,5.0,Atlanta
Tesla,Model 3,2020,car,ELECTRIC,6,4.83,Doraville
Porsche,718 Boxster,2017,car,GASOLINE,33,4.94,East Point
Mercedes-Benz,S-Class,2015,car,GASOLINE,10,5.0,Grayson
BMW,7 Series,2018,car,GASOLINE,2,5.0,Atlanta
Mercedes-benz,C-Class,2019,car,GASOLINE,14,4.93,Atlanta
BMW,4 Series,2018,car,GASOLINE,0,,Tampa
Porsche,Panamera,2011,car,GASOLINE,80,4.89,Atlanta
Mercedes-Benz,GLA-Class,2017,suv,GASOLINE,110,4.85,Doraville
Volkswagen,Jetta,2016,car,GASOLINE,30,4.87,East Point
Acura,MDX,2014,suv,GASOLINE,35,4.89,Fairburn
